Store,MAIN_BARCODE,RETAIL PRICE,MARKDOWN PERC,SELL PRICE,TOTAL DISCOUNT,WAC PER TRANSACTION,TransType,SOLD QTY,SALES AMOUNT W/O VAT,WAC AMOUNT PER TRANSACTION,MARGIN,NET_VALUE
162,193392312247,349000,0,349000,0,105670.0688,45,1,317272.7273,105670.0688,211602.6585,349000
162,888366278178,299000,0,299000,0,87628.8375,45,1,271818.1818,87628.8375,184189.3443,299000
162,193395086688,2199000,0,2199000,0,705326.2313,45,1,1999090.909,705326.2313,1293764.678,2199000
162,193395087357,2199000,0,2199000,0,705326.2313,45,1,1999090.909,705326.2313,1293764.678,2199000
162,700053630017,849000,0,849000,0,374913.9675,45,1,771818.1818,374913.9675,396904.2143,849000
162,193394098484,849000,0,849000,0,247834.05,45,1,771818.1818,247834.05,523984.1318,849000
162,193394066834,799000,0,799000,0,212999.45,45,1,726363.6364,212999.45,513364.1864,799000
162,193394067046,799000,0,799000,0,212999.45,45,1,726363.6364,212999.45,513364.1864,799000
162,193394066971,799000,0,799000,0,247354.2,45,1,726363.6364,247354.2,479009.4364,799000
162,193394085804,999000,0,999000,0,327619.4438,45,1,908181.8182,327619.4438,580562.3744,999000
162,193395012557,999000,0,999000,0,312626.16,45,1,908181.8182,312626.16,595555.6582,999000
162,700053630048,849000,0,849000,0,377549.5308,45,1,771818.1818,377549.5308,394268.651,849000
162,193395061982,1299000,0,1299000,0,393996.93,45,1,1180909.091,393996.93,786912.1609,1299000
162,700053288515,699000,0,699000,0,257726.209,45,1,635454.5455,257726.209,377728.3365,699000
162,887040637799,799000,0,799000,0,216651.4028,45,1,726363.6364,216651.4028,509712.2336,799000
162,193395008079,1199000,0,1199000,0,363884.67,45,1,1090000,363884.67,726115.33,1199000
162,772259440899,1479000,0,1479000,0,471872.4188,45,1,1344545.455,471872.4188,872673.0358,1479000
162,680975168266,1099000,0,1099000,0,350515.35,45,1,999090.9091,350515.35,648575.5591,1099000
162,192824387204,149000,0,149000,0,38950.89625,45,1,135454.5455,38950.89625,96503.6492,149000
162,700053804142,749000,0,749000,0,300759.4164,45,1,680909.0909,300759.4164,380149.6745,749000
162,192824159337,949000,0,949000,0,295398.3883,45,1,862727.2727,295398.3883,567328.8845,949000
162,193394084555,949000,0,949000,0,299259.4161,45,1,862727.2727,299259.4161,563467.8567,949000
162,888366277812,249000,0,249000,0,84707.87625,45,1,226363.6364,84707.87625,141655.7601,249000
162,772259446976,1149000,0,1149000,0,360400.8275,45,1,1044545.455,360400.8275,684144.627,1149000
162,700053630000,849000,0,849000,0,377716.2331,45,1,771818.1818,377716.2331,394101.9487,849000
162,193394085804,999000,0,999000,0,327619.4438,45,1,908181.8182,327619.4438,580562.3744,999000
162,193391170916,499000,0,499000,0,146538.8438,45,1,453636.3636,146538.8438,307097.5199,499000
162,888654796254,849000,0,849000,0,223711.2675,45,1,771818.1818,223711.2675,548106.9143,849000
162,700053287945,699000,0,699000,0,257419.927,45,1,635454.5455,257419.927,378034.6184,699000
162,192824181277,1099000,0,1099000,0,341524.8688,45,1,999090.9091,341524.8688,657566.0403,1099000
162,193394083916,949000,0,949000,0,299265.5296,45,1,862727.2727,299265.5296,563461.7431,949000
162,680975168266,1099000,0,1099000,0,350515.35,45,1,999090.9091,350515.35,648575.5591,1099000
162,193395087111,2199000,0,2199000,0,705326.2313,45,1,1999090.909,705326.2313,1293764.678,2199000
162,766182782164,99000,0,99000,99000,26302.75234,45,1,0,26302.75234,-26302.75234,0
162,191163314155,1499000,0,1499000,0,478046.3463,45,1,1362727.273,478046.3463,884680.9265,1499000
162,766182782164,99000,0,99000,99000,26302.75234,45,1,0,26302.75234,-26302.75234,0
162,700053629394,849000,0,849000,0,377166.5671,45,1,771818.1818,377166.5671,394651.6147,849000
162,766182782164,99000,0,99000,99000,26302.75234,45,1,0,26302.75234,-26302.75234,0
162,700053630000,849000,0,849000,0,377716.2331,45,1,771818.1818,377716.2331,394101.9487,849000
162,766182782164,99000,0,99000,99000,26302.75234,45,1,0,26302.75234,-26302.75234,0
162,193394039388,1399000,0,1399000,0,435691.5701,45,1,1271818.182,435691.5701,836126.6118,1399000
162,766182782164,99000,0,99000,99000,26302.75234,45,1,0,26302.75234,-26302.75234,0
162,192360418455,1499000,0,1499000,0,391653.6583,45,1,1362727.273,391653.6583,971073.6144,1499000
162,193395005023,999000,0,999000,0,312626.16,45,1,908181.8182,312626.16,595555.6582,999000
162,192824355364,99000,0,99000,99000,25375.5,45,1,0,25375.5,-25375.5,0
162,193395084271,2199000,0,2199000,0,703092.555,45,1,1999090.909,703092.555,1295998.354,2199000
162,192824355364,99000,0,99000,99000,25375.5,45,1,0,25375.5,-25375.5,0
162,193395005023,999000,0,999000,0,312626.16,45,1,908181.8182,312626.16,595555.6582,999000
162,193392113639,99000,0,99000,99000,25257.72375,45,1,0,25257.72375,-25257.72375,0
162,193392111802,99000,0,99000,0,30001.44375,45,1,90000,30001.44375,59998.55625,99000
162,193395063405,1499000,0,1499000,0,462758.4825,45,1,1362727.273,462758.4825,899968.7902,1499000
162,193392114032,99000,0,99000,99000,25257.72375,45,1,0,25257.72375,-25257.72375,0
162,193395039813,1029000,0,1029000,0,309899.3063,45,1,935454.5455,309899.3063,625555.2392,1029000
162,193395043377,1299000,0,1299000,0,384420.1909,45,1,1180909.091,384420.1909,796488.9,1299000
162,193392114032,99000,0,99000,99000,25257.72375,45,1,0,25257.72375,-25257.72375,0
162,700053288942,699000,0,699000,0,254467.2713,45,1,635454.5455,254467.2713,380987.2742,699000
162,193392168127,199000,0,199000,0,61910.49375,45,1,180909.0909,61910.49375,118998.5972,199000
162,700053843677,749000,0,749000,0,288770.4472,45,1,680909.0909,288770.4472,392138.6437,749000
162,192824355135,99000,0,99000,99000,25683.77875,45,1,0,25683.77875,-25683.77875,0
162,193395086985,2199000,0,2199000,0,705326.2313,45,1,1999090.909,705326.2313,1293764.678,2199000
162,192824355135,99000,0,99000,99000,25683.77875,45,1,0,25683.77875,-25683.77875,0
162,190284927916,1549000,0,1549000,0,474102.0182,45,1,1408181.818,474102.0182,934079.8,1549000
162,192825081880,399000,0,399000,0,124954.5,45,1,362727.2727,124954.5,237772.7727,399000
162,193394051847,1099000,0,1099000,0,307112.3473,45,1,999090.9091,307112.3473,691978.5618,1099000
162,193394097418,799000,0,799000,0,253901.1946,45,1,726363.6364,253901.1946,472462.4418,799000
162,193394084456,949000,0,949000,0,300014.4375,45,1,862727.2727,300014.4375,562712.8352,949000
162,193394087082,899000,0,899000,0,282052.4975,45,1,817272.7273,282052.4975,535220.2298,899000
162,193391172415,699000,0,699000,0,218681.0438,45,1,635454.5455,218681.0438,416773.5017,699000
162,700053630062,849000,0,849000,0,377819.0275,45,1,771818.1818,377819.0275,393999.1543,849000
162,700053288911,699000,0,699000,0,255686.1464,45,1,635454.5455,255686.1464,379768.399,699000
162,193394071890,999000,0,999000,0,310742.7975,45,1,908181.8182,310742.7975,597439.0207,999000
162,700053288959,699000,0,699000,0,255608.5265,45,1,635454.5455,255608.5265,379846.0189,699000
162,192824389697,99000,0,99000,0,31215.375,45,1,90000,31215.375,58784.625,99000
162,192828074230,999000,0,999000,0,300721.33,45,1,908181.8182,300721.33,607460.4882,999000
162,193394041718,1199000,0,1199000,0,360544.4507,45,1,1090000,360544.4507,729455.5493,1199000
162,680975167429,1099000,0,1099000,0,350515.35,45,1,999090.9091,350515.35,648575.5591,1099000
162,772204279246,1549000,0,1549000,0,484450.585,45,1,1408181.818,484450.585,923731.2332,1549000
125,700053287976,699000,0,699000,0,256263.2973,45,1,635454.5455,256263.2973,379191.2482,699000
125,700053630000,849000,0,849000,0,377716.2331,46,1,771818.1818,377716.2331,394101.9487,849000
125,700053629400,849000,0,849000,0,377246.681,45,1,771818.1818,377246.681,394571.5009,849000
125,700053630062,849000,0,849000,0,377819.0275,45,1,771818.1818,377819.0275,393999.1543,849000
125,700053804043,749000,0,749000,0,300213.456,45,1,680909.0909,300213.456,380695.6349,749000
125,700053288867,699000,0,699000,0,255824.3663,45,1,635454.5455,255824.3663,379630.1792,699000
125,700053287976,699000,0,699000,0,256263.2973,45,1,635454.5455,256263.2973,379191.2482,699000
125,700053629455,849000,0,849000,0,377569.4556,45,1,771818.1818,377569.4556,394248.7262,849000
125,032546871004,849000,0,849000,0,384248.4859,45,1,771818.1818,384248.4859,387569.696,849000
125,191477502866,449000,20,359200,0,167342.175,45,1,326545.4545,167342.175,159203.2795,359200
125,700053288898,699000,0,699000,0,255403.8027,45,1,635454.5455,255403.8027,380050.7428,699000
125,700053288546,699000,0,699000,0,255126.7791,45,1,635454.5455,255126.7791,380327.7664,699000
125,192826081483,1599000,0,1599000,0,542372,45,1,1453636.364,542372,911264.3636,1599000
125,193391138268,449000,0,449000,0,141856.5375,45,1,408181.8182,141856.5375,266325.2807,449000
125,700053288539,699000,0,699000,0,258051.8299,45,1,635454.5455,258051.8299,377402.7155,699000
125,658100946744,699000,0,699000,0,254467.2713,45,1,635454.5455,254467.2713,380987.2742,699000
125,700053630062,849000,0,849000,0,377819.0275,45,1,771818.1818,377819.0275,393999.1543,849000
125,700053630086,849000,0,849000,0,378414.0327,45,1,771818.1818,378414.0327,393404.1491,849000
125,193392106259,399000,0,399000,0,104467.32,45,1,362727.2727,104467.32,258259.9527,399000
125,193391172163,599000,0,599000,0,184707.8438,45,1,544545.4545,184707.8438,359837.6108,599000
125,193394086016,949000,0,949000,0,287800.5938,45,1,862727.2727,287800.5938,574926.679,949000
125,193394091928,949000,0,949000,0,287769.5146,45,1,862727.2727,287769.5146,574957.7581,949000
125,192360419216,1499000,0,1499000,0,392165.3054,45,1,1362727.273,392165.3054,970561.9673,1499000
125,193394084876,799000,0,799000,0,247834.05,45,1,726363.6364,247834.05,478529.5864,799000
125,193395007782,1199000,0,1199000,0,363884.67,45,1,1090000,363884.67,726115.33,1199000
125,700053629394,849000,0,849000,0,377166.5671,45,1,771818.1818,377166.5671,394651.6147,849000
